id,fecha,mes,nombre,email,telefono,ciudad,empresa,tipo_consulta
51,2025-12-15 21:19:03,2025-12,Carlos Rodríguez,carlos.rodriguez279@yahoo.com,+57 3332 378 7215,Pereira,,Información de productos
52,2026-01-17 17:15:41,2026-01,Luisa Palacios,luisa.palacios333@hotmail.com,+57 3616 346 8805,Barranquilla,Clínica Juvenil,Cotización empresarial
53,2026-02-27 12:00:55,2026-02,Manuel Ramírez,manuel.ramirez804@hotmail.com,+57 3080 435 1796,Barranquilla,Clínica del Cuerpo,Consulta de precios
54,2025-11-23 20:43:26,2025-11,Sebastián Vargas,sebastian.vargas666@hotmail.com,+57 3891 403 3855,Bucaramanga,SPA Revive,Información de productos
55,2026-01-18 07:57:29,2026-01,Jhon Quintero,jhon.quintero147@outlook.com,+57 3533 670 5538,Medellín,Clínica Estética Bella,Disponibilidad de stock
56,2026-03-26 20:05:41,2026-03,Ana Martínez,ana.martinez725@yahoo.com,+57 3711 617 1880,Bucaramanga,Centro Médico Salud Total,Disponibilidad de stock
57,2025-12-29 10:48:08,2025-12,Nicolás Arbeláez,nicolas.arbelaez832@gmail.com,+57 3785 509 9123,Manizales,,Soporte técnico
58,2026-02-15 00:42:34,2026-02,Mauricio Peñaloza,mauricio.penaloza47@hotmail.com,+57 3145 430 2506,Cúcuta,,Soporte técnico
59,2026-01-03 21:15:36,2026-01,Antonio Díaz,antonio.diaz474@yahoo.com,+57 3797 778 9164,Pereira,Instituto Médico Estético,Soporte técnico
60,2026-02-27 22:51:47,2026-02,Valentina Torres,valentina.torres601@yahoo.com,+57 3049 412 8023,Santa Marta,Clínica Estética Bella,Consulta de precios
